0.0.1.0.0.255	date_time 		
1.0.31.27.0.255	cur_ir
1.0.51.27.0.255	cur_iy 	
1.0.71.27.0.255	cur_ib 	
1.0.32.27.0.255	volt_r   	
1.0.52.27.0.255	volt_y  
1.0.72.27.0.255	volt_b   	
1.0.14.27.0.255	freq   	
1.0.2.29.0.255	kwh_exp   	
1.0.1.29.0.255	kwh_imp   	
1.0.5.29.0.255	kvarh_lag   
1.0.8.29.0.255	kvarh_lead 
1.0.10.29.0.255	kvah_exp   	
1.0.9.29.0.255	kvah_imp	
